variant,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65
full,2022,160,random_forest_shallow,0.6776207965517396,0.24230572070481135,0.5740740740740741,2430.0,0.6196943972835314,0.48477366255144033,0.6631578947368421,0.15637860082304528,0.58,0.0205761316872428
full,2022,160,random_forest,0.6778683291283254,0.2424381667102903,0.5761316872427984,2430.0,0.6110671936758894,0.5205761316872428,0.6528066528066528,0.1979423868312757,0.6694915254237288,0.048559670781893
full,2022,160,extra_trees,0.6808554779227622,0.2438919266410769,0.5765432098765432,2430.0,0.6070409134157945,0.43251028806584363,0.6260869565217392,0.09465020576131687,0.4,0.00205761316872428
full,2023,162,random_forest,0.6817111390981749,0.2443657294139352,0.5621399176954732,2430.0,0.583941605839416,0.5074074074074074,0.639412997903564,0.1962962962962963,0.75,0.04609053497942387
full,2023,162,random_forest_shallow,0.681767343446165,0.24438780387741754,0.557201646090535,2430.0,0.5955249569707401,0.47818930041152263,0.6577540106951871,0.15390946502057612,0.723404255319149,0.01934156378600823
full,2023,162,extra_trees,0.683599753724428,0.24528622645011236,0.5415637860082304,2430.0,0.5947843530591775,0.4102880658436214,0.7015706806282722,0.07860082304526748,0.8,0.00205761316872428
full,2024,162,random_forest,0.67892740117507,0.24295837497083778,0.5726636475916015,2429.0,0.6173913043478261,0.4734458624948539,0.6577017114914425,0.16838205022643063,0.6593406593406593,0.037463976945244955
full,2024,162,random_forest_shallow,0.680750704759512,0.24385927864654364,0.5677233429394812,2429.0,0.6157894736842106,0.3911074516261836,0.6576923076923077,0.1070399341292713,0.65625,0.013174145738987238
full,2024,162,extra_trees,0.6816019629909241,0.2442789369634703,0.5607245780156443,2429.0,0.633419689119171,0.3178262659530671,0.6814159292035398,0.04652120214079868,1.0,0.0012350761630300535
full,2025,162,random_forest,0.679730691481685,0.2434048124683492,0.5584362139917696,2430.0,0.6031224322103533,0.5008230452674897,0.6523702031602708,0.18230452674897119,0.7232142857142857,0.04609053497942387
full,2025,162,random_forest_shallow,0.6810615240151127,0.24404112826899338,0.5621399176954732,2430.0,0.6085192697768763,0.405761316872428,0.7104247104247104,0.10658436213991769,0.75,0.014814814814814815
full,2025,162,extra_trees,0.6818553542411375,0.24440940351161963,0.557201646090535,2430.0,0.6197674418604651,0.35390946502057613,0.7032258064516129,0.06378600823045268,1.0,0.0016460905349794238
without_pitch_stuff,2022,146,random_forest,0.6774682748827273,0.2422220887689873,0.5810699588477366,2430.0,0.6123417721518988,0.5201646090534979,0.6434426229508197,0.2008230452674897,0.6546762589928058,0.05720164609053498
without_pitch_stuff,2022,146,random_forest_shallow,0.6785227526729289,0.242753289273023,0.5707818930041152,2430.0,0.6156433978132885,0.48930041152263376,0.6744791666666666,0.1580246913580247,0.5555555555555556,0.022222222222222223
without_pitch_stuff,2022,146,extra_trees,0.6822457995632009,0.24457007429703245,0.5720164609053497,2430.0,0.6051873198847262,0.4283950617283951,0.6265560165975104,0.09917695473251029,0.36363636363636365,0.004526748971193415
without_pitch_stuff,2023,148,random_forest_shallow,0.6822461177354994,0.24461550756556225,0.5530864197530864,2430.0,0.5925612848689772,0.4868312757201646,0.6524064171122995,0.15390946502057612,0.7,0.0205761316872428
without_pitch_stuff,2023,148,random_forest,0.6837239378241512,0.245319033623964,0.5576131687242798,2430.0,0.5776,0.51440329218107,0.6244897959183674,0.20164609053497942,0.6307692307692307,0.053497942386831275
without_pitch_stuff,2023,148,extra_trees,0.6849382057729346,0.2459432837865218,0.5489711934156378,2430.0,0.5803059273422562,0.43045267489711936,0.6633663366336634,0.0831275720164609,1.0,0.0024691358024691358
without_pitch_stuff,2024,148,random_forest,0.6792375020048916,0.24310187433521036,0.5636064223960477,2429.0,0.6148023549201009,0.48950185261424456,0.629976580796253,0.17579250720461095,0.7009345794392523,0.04405104981473858
without_pitch_stuff,2024,148,random_forest_shallow,0.6809737914329993,0.24397850754029252,0.5623713462330177,2429.0,0.608257804632427,0.4088102099629477,0.6616541353383458,0.10951008645533142,0.7419354838709677,0.012762453684643887
without_pitch_stuff,2024,148,extra_trees,0.6818110373051112,0.24438100360209533,0.5652531906134212,2429.0,0.6337854500616523,0.3338822560724578,0.640625,0.05269658295594895,1.0,0.0016467682173734047
without_pitch_stuff,2025,148,random_forest,0.6793367024058454,0.24322897003666177,0.5530864197530864,2430.0,0.5934504792332268,0.5152263374485597,0.6673728813559322,0.194238683127572,0.7377049180327869,0.050205761316872426
without_pitch_stuff,2025,148,random_forest_shallow,0.6808239832631741,0.24391982228449782,0.5633744855967078,2430.0,0.6,0.4176954732510288,0.6936619718309859,0.1168724279835391,0.6382978723404256,0.01934156378600823
without_pitch_stuff,2025,148,extra_trees,0.6811981660256383,0.2440901947807411,0.5670781893004115,2430.0,0.6137689614935823,0.3526748971193416,0.7341772151898734,0.06502057613168724,0.8333333333333334,0.0024691358024691358
without_lineup_optional,2022,141,random_forest,0.676853952411767,0.24192689187646638,0.5835390946502058,2430.0,0.6160572337042926,0.5176954732510288,0.6536203522504892,0.2102880658436214,0.6454545454545455,0.04526748971193416
without_lineup_optional,2022,141,random_forest_shallow,0.6782929230786963,0.24262723725719362,0.5769547325102881,2430.0,0.6166242578456319,0.48518518518518516,0.6740947075208914,0.14773662551440328,0.5217391304347826,0.018930041152263374
without_lineup_optional,2022,141,extra_trees,0.6804965250915291,0.24371086001348002,0.5699588477366255,2430.0,0.620253164556962,0.42263374485596705,0.6538461538461539,0.0962962962962963,0.3333333333333333,0.003703703703703704
without_lineup_optional,2023,143,random_forest_shallow,0.6809226561069454,0.2439759779172196,0.5609053497942387,2430.0,0.602928509905254,0.4777777777777778,0.6666666666666666,0.14320987654320988,0.8,0.018518518518518517
without_lineup_optional,2023,143,random_forest,0.6813664100101813,0.2441977960540895,0.5617283950617284,2430.0,0.5885167464114832,0.5160493827160494,0.6325678496868476,0.19711934156378602,0.7024793388429752,0.04979423868312757
without_lineup_optional,2023,143,extra_trees,0.6841308376156445,0.2455426156561105,0.5473251028806584,2430.0,0.5984095427435387,0.4139917695473251,0.6875,0.08559670781893004,0.8333333333333334,0.0024691358024691358
without_lineup_optional,2024,143,random_forest,0.6793207867272557,0.2431450506836061,0.5706051873198847,2429.0,0.6141396933560477,0.48332647179909427,0.6526806526806527,0.17661589131329766,0.6630434782608695,0.03787566899958831
without_lineup_optional,2024,143,random_forest_shallow,0.6808296987400908,0.24390460257122715,0.5644298065047345,2429.0,0.6111685625646329,0.3981062165500206,0.6829268292682927,0.10127624536846438,0.6875,0.013174145738987238
without_lineup_optional,2024,143,extra_trees,0.6824841496605879,0.2447133502834414,0.5520790448744339,2429.0,0.6274007682458387,0.3215314944421573,0.7166666666666667,0.04940304652120214,0.8333333333333334,0.002470152326060107
without_lineup_optional,2025,143,random_forest,0.680001023423609,0.2435456772349708,0.5604938271604938,2430.0,0.6023102310231023,0.49876543209876545,0.6530612244897959,0.1814814814814815,0.7636363636363637,0.04526748971193416
without_lineup_optional,2025,143,random_forest_shallow,0.680430148025357,0.24373527063409883,0.5646090534979424,2430.0,0.5992179863147605,0.42098765432098767,0.7044673539518901,0.11975308641975309,0.7111111111111111,0.018518518518518517
without_lineup_optional,2025,143,extra_trees,0.6830179293397443,0.24498965000286596,0.5534979423868313,2430.0,0.6084905660377359,0.34897119341563787,0.7483870967741936,0.06378600823045268,0.8333333333333334,0.0024691358024691358
without_travel,2022,143,random_forest,0.6776008914774365,0.24229908112550588,0.5695473251028806,2430.0,0.6202229299363057,0.516872427983539,0.65,0.19753086419753085,0.635593220338983,0.048559670781893
without_travel,2022,143,random_forest_shallow,0.6781534744502747,0.24256889610420704,0.5757201646090535,2430.0,0.6194915254237288,0.48559670781893005,0.6620498614958449,0.148559670781893,0.625,0.01646090534979424
without_travel,2022,143,extra_trees,0.680950855681969,0.24393332551513638,0.5724279835390946,2430.0,0.6091173617846751,0.4242798353909465,0.6094420600858369,0.09588477366255144,0.5,0.005761316872427984
without_travel,2023,145,random_forest_shallow,0.6816667048581764,0.24434358113170432,0.5584362139917696,2430.0,0.5902192242833052,0.48806584362139915,0.6440217391304348,0.151440329218107,0.7954545454545454,0.01810699588477366
without_travel,2023,145,random_forest,0.6819625369268483,0.24449274663771958,0.560082304526749,2430.0,0.5874294923448832,0.5106995884773663,0.6410256410256411,0.20864197530864198,0.7027027027027027,0.04567901234567901
without_travel,2023,145,extra_trees,0.6834503348892123,0.24521358596418683,0.5473251028806584,2430.0,0.5980676328502416,0.42592592592592593,0.705607476635514,0.08806584362139917,0.8333333333333334,0.0024691358024691358
without_travel,2024,145,random_forest,0.6794955147819777,0.24324292641852438,0.5664882667764513,2429.0,0.6069609507640068,0.4849732400164677,0.6479217603911981,0.16838205022643063,0.6699029126213593,0.04240428159736517
without_travel,2024,145,random_forest_shallow,0.6801667302162633,0.2435789398496323,0.5734870317002881,2429.0,0.6047904191616766,0.41251543845203786,0.6753731343283582,0.11033347056401811,0.6944444444444444,0.014820913956360642
without_travel,2024,145,extra_trees,0.6815107443961232,0.2442339342679335,0.5636064223960477,2429.0,0.6253101736972705,0.33182379580074106,0.7153846153846154,0.05351996706463565,0.8,0.0020584602717167557
