season,rows,first_game_date,last_game_date,home_win_rate
2021,2429,2021-04-01,2021-10-03,0.5389048991354467
2022,2430,2022-04-07,2022-10-05,0.5333333333333333
2023,2430,2023-03-30,2023-10-01,0.5209876543209877
2024,2429,2024-03-20,2024-09-30,0.521613832853026
2025,2430,2025-03-18,2025-09-28,0.5427983539094651
