column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
home_sp_fip_last_5_starts,float64,2429,2242,187,0.07698641416220667,0.0,-1.1857142857142864,4.160924908424908,33.1
home_sp_fip_season_to_date,float64,2429,2242,187,0.07698641416220667,0.0,-1.1857142857142864,3.9042589599771844,33.10000000000001
home_sp_hr_per_9_season_to_date,float64,2429,2242,187,0.07698641416220667,0.07575133799917662,0.0,1.125,20.250000000000004
home_sp_ip_avg_last_3_starts,float64,2429,2242,187,0.07698641416220667,0.0,0.6666666666666666,5.444444444444444,8.0
home_sp_k_per_9_season_to_date,float64,2429,2242,187,0.07698641416220667,0.0032935364347468094,0.0,8.29194992732899,19.28571428571429
home_sp_k_rate_season_to_date,float64,2429,2242,187,0.07698641416220667,0.0032935364347468094,0.0,0.21778185883104434,0.6666666666666666
home_sp_kbb_rate_season_to_date,float64,2429,2242,187,0.07698641416220667,0.011939069575957185,-0.3571428571428571,0.1428571428571428,0.6666666666666666
home_sp_pitch_count_last_start,float64,2429,2242,187,0.07698641416220667,0.0,2.0,90.0,115.0
home_sp_rest_days,float64,2429,2242,187,0.07698641416220667,0.0004116920543433512,0.0,6.0,169.0
home_sp_run_prevention_proxy,float64,2429,2242,187,0.07698641416220667,0.0,-1.1857142857142864,3.9042589599771844,33.10000000000001
home_sp_whiff_proxy,float64,2429,2242,187,0.07698641416220667,0.0032935364347468094,0.0,0.21778185883104434,0.6666666666666666
home_sp_whip_season_to_date,float64,2429,2242,187,0.07698641416220667,0.0008233841086867024,0.0,1.2309018567639258,7.500000000000002
away_sp_bb_per_9_season_to_date,float64,2429,2245,184,0.07575133799917662,0.02058460271716756,0.0,2.7142857142857144,18.000000000000004
away_sp_bb_rate_season_to_date,float64,2429,2245,184,0.07575133799917662,0.02058460271716756,0.0,0.0723981900452488,0.5
away_sp_command_proxy,float64,2429,2245,184,0.07575133799917662,0.011527377521613832,-0.25,0.1437125748502994,0.5
away_sp_era_season_to_date,float64,2429,2245,184,0.07575133799917662,0.9242486620008233,0.0,0.0,0.0
away_sp_fip_last_3_starts,float64,2429,2245,184,0.07575133799917662,0.0,-0.8999999999999999,3.988888888888889,17.3
away_sp_fip_last_5_starts,float64,2429,2245,184,0.07575133799917662,0.0,-0.8999999999999999,4.123809523809524,17.3
away_sp_fip_season_to_date,float64,2429,2245,184,0.07575133799917662,0.0,-0.9000000000000008,3.876595744680851,12.1
away_sp_hr_per_9_season_to_date,float64,2429,2245,184,0.07575133799917662,0.07945656648826678,0.0,1.1076923076923078,9.0
away_sp_ip_avg_last_3_starts,float64,2429,2245,184,0.07575133799917662,0.0,0.6666666666666666,5.444444444444444,9.0
away_sp_k_per_9_season_to_date,float64,2429,2245,184,0.07575133799917662,0.0012350761630300535,0.0,8.255395683453237,19.8
away_sp_k_rate_season_to_date,float64,2429,2245,184,0.07575133799917662,0.0012350761630300535,0.0,0.2169117647058823,0.55
away_sp_kbb_rate_season_to_date,float64,2429,2245,184,0.07575133799917662,0.011527377521613832,-0.25,0.1437125748502994,0.5
away_sp_pitch_count_last_start,float64,2429,2245,184,0.07575133799917662,0.0004116920543433512,0.0,90.0,118.0
away_sp_rest_days,float64,2429,2245,184,0.07575133799917662,0.0004116920543433512,0.0,5.0,137.0
away_sp_run_prevention_proxy,float64,2429,2245,184,0.07575133799917662,0.0,-0.9000000000000008,3.876595744680851,12.1
away_sp_whiff_proxy,float64,2429,2245,184,0.07575133799917662,0.0012350761630300535,0.0,0.2169117647058823,0.55
away_sp_whip_season_to_date,float64,2429,2245,184,0.07575133799917662,0.0016467682173734047,0.0,1.2187499999999998,5.400000000000002
lineup_statcast_xwoba_diff,float64,2429,2258,171,0.07039934129271305,0.0,-0.1673194332059309,-0.00032419562249915,0.3404668799382716
away_lineup_avg_exit_velocity,float64,2429,2332,97,0.03993412927130506,0.0,76.17818470557809,82.22669945667798,86.929375
away_lineup_barrel_rate,float64,2429,2332,97,0.03993412927130506,0.002470152326060107,0.0,0.04025343637140685,0.1730573710965867
away_lineup_hard_hit_rate,float64,2429,2332,97,0.03993412927130506,0.0,0.119047619047619,0.23816362902812627,0.4104166666666666
away_lineup_statcast_woba,float64,2429,2332,97,0.03993412927130506,0.0,0.1142857142857142,0.31960514993966715,0.5198290598290599
away_lineup_statcast_xwoba,float64,2429,2332,97,0.03993412927130506,0.0,0.1292134074074074,0.316162459445201,0.4570197010950887
home_lineup_avg_exit_velocity,float64,2429,2341,88,0.036228900782214905,0.0,78.86952089268756,82.23101476511614,88.80000000000001
home_lineup_barrel_rate,float64,2429,2341,88,0.036228900782214905,0.0032935364347468094,0.0,0.040215111444292,0.1836375929682217
home_lineup_hard_hit_rate,float64,2429,2341,88,0.036228900782214905,0.0,0.1514634943467298,0.238342959162552,0.3888888888888888
home_lineup_statcast_woba,float64,2429,2341,88,0.036228900782214905,0.002470152326060107,0.0,0.3190737339798594,0.5466208791208791
home_lineup_statcast_xwoba,float64,2429,2341,88,0.036228900782214905,0.0,0.1557284678357356,0.3170187910750388,0.4732323866994307
team_close_win_dependency_last_20_diff,float64,2429,2369,60,0.02470152326060107,0.05557842733635241,-1.0,0.0,1.0
away_team_one_run_win_rate_last_20,float64,2429,2370,59,0.02428983120625772,0.07369287772745986,0.0,0.5,1.0
home_team_one_run_win_rate_last_20,float64,2429,2374,55,0.022643062988884313,0.07780979827089338,0.0,0.5,1.0
away_lineup_vs_lhp_woba,float64,2429,2379,50,0.02058460271716756,0.0,0.0494444444444444,0.3140330184775352,0.577163139329806
lineup_platoon_woba_diff,float64,2429,2385,44,0.018114450391107453,0.0,-0.2527202380952381,-0.0002190287053519,0.3907248677248677
home_team_close_win_dependency_last_20,float64,2429,2387,42,0.01729106628242075,0.08316179497735694,0.0,0.2727272727272727,1.0
home_lineup_vs_lhp_woba,float64,2429,2393,36,0.014820913956360642,0.0,0.0648958333333333,0.3142291417126158,0.6055625
away_lineup_platoon_woba,float64,2429,2397,32,0.013174145738987238,0.0,0.0593333333333333,0.3119255969013292,0.5743100874163736
away_team_close_win_dependency_last_20,float64,2429,2397,32,0.013174145738987238,0.08480856319473035,0.0,0.2727272727272727,1.0
away_team_runs_for_volatility_last_10,float64,2429,2397,32,0.013174145738987238,0.0,0.5773502691896258,2.806737924669454,6.160808027812225
home_lineup_platoon_woba,float64,2429,2399,30,0.012350761630300536,0.0,0.1246428571428571,0.3125088737515208,0.5631666666666667
home_team_runs_for_volatility_last_10,float64,2429,2401,28,0.011527377521613832,0.0004116920543433512,0.0,2.8303906287138374,9.192388155425116
away_lineup_vs_rhp_woba,float64,2429,2403,26,0.01070399341292713,0.0,0.1128571428571428,0.3109372024500991,0.523038883253874
home_lineup_vs_rhp_woba,float64,2429,2409,20,0.008233841086867023,0.0,0.1225,0.3115822703073446,0.5631666666666667
away_bullpen_fip_season_to_date,float64,2429,2413,16,0.006587072869493619,0.0,-0.2333333333333334,3.871745835903763,9.7
away_bullpen_whip_season_to_date,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,0.0,1.2679738562091505,2.5
away_lineup_3to5_woba,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,0.0,0.3297734174488331,0.7273724718095579
away_lineup_avg_babip,float64,2429,2413,16,0.006587072869493619,0.0,0.0555555555555555,0.2172232431249625,0.3441358024691358
away_lineup_avg_iso,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,0.0,0.1497512061070069,0.4734093067426401
away_lineup_avg_ops,float64,2429,2413,16,0.006587072869493619,0.0,0.2142857142857142,0.7082694796919801,1.2130104463437796
away_lineup_avg_woba,float64,2429,2413,16,0.006587072869493619,0.0,0.1128571428571428,0.3138856211752349,0.5267340930674265
away_lineup_bb_rate,float64,2429,2413,16,0.006587072869493619,0.0004116920543433512,0.0,0.0820661211087773,0.20625
away_lineup_bottom4_ops,float64,2429,2413,16,0.006587072869493619,0.0012350761630300535,0.0,0.651307003769883,1.9472222222222224
away_lineup_k_rate,float64,2429,2413,16,0.006587072869493619,0.9934129271305063,0.0,0.0,0.0
away_lineup_previous_starter_missing_count,float64,2429,2413,16,0.006587072869493619,0.033347056401811445,0.0,2.0,5.0
away_lineup_previous_starter_return_rate,float64,2429,2413,16,0.006587072869493619,0.0,0.4444444444444444,0.7777777777777778,1.0
away_lineup_top3_woba,float64,2429,2413,16,0.006587072869493619,0.0004116920543433512,0.0,0.3385460852833215,0.5409506691565515
away_lineup_weighted_woba_by_order,float64,2429,2413,16,0.006587072869493619,0.0,0.12065625,0.3172929036722419,0.4689555555555556
away_lineup_xwoba_proxy,float64,2429,2413,16,0.006587072869493619,0.0,0.1128571428571428,0.3138856211752349,0.5267340930674265
away_team_5plus_run_rate_last_10,float64,2429,2413,16,0.006587072869493619,0.013585837793330589,0.0,0.4,1.0
away_team_actual_minus_pythag_last_20,float64,2429,2413,16,0.006587072869493619,0.006587072869493619,-0.36,0.0,0.4098360655737705
away_team_bb_rate_season_to_date,float64,2429,2413,16,0.006587072869493619,0.0004116920543433512,0.0,0.0829819531118232,0.2142857142857142
away_team_k_rate_season_to_date,float64,2429,2413,16,0.006587072869493619,0.9934129271305063,0.0,0.0,0.0
away_team_low_run_rate_last_10,float64,2429,2413,16,0.006587072869493619,0.045286125977768626,0.0,0.3,1.0
away_team_one_run_game_rate_last_20,float64,2429,2413,16,0.006587072869493619,0.0177027583367641,0.0,0.2941176470588235,1.0
away_team_ops_last_14d,float64,2429,2413,16,0.006587072869493619,0.0,0.3185483870967742,0.7075860507246376,1.0796747967479674
away_team_ops_last_30d,float64,2429,2413,16,0.006587072869493619,0.0,0.3185483870967742,0.7109507211234877,1.0796747967479674
away_team_ops_season_to_date,float64,2429,2413,16,0.006587072869493619,0.0,0.3185483870967742,0.7036052794755957,1.0796747967479674
away_team_pythagorean_win_pct_last_20,float64,2429,2413,16,0.006587072869493619,0.0,0.0038910505836575,0.5,1.0
away_team_recent_10g_win_rate,float64,2429,2413,16,0.006587072869493619,0.01070399341292713,0.0,0.5,1.0
away_team_recent_7g_win_rate,float64,2429,2413,16,0.006587072869493619,0.018114450391107453,0.0,0.5714285714285714,1.0
away_team_runs_allowed_per_game_to_date,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,0.0,4.340277777777778,16.0
away_team_runs_per_game_to_date,float64,2429,2413,16,0.006587072869493619,0.0,1.0,4.35,10.5
away_team_weighted_run_diff_last_10,float64,2429,2413,16,0.006587072869493619,0.0,-15.0,0.0414300973300109,8.0
away_team_weighted_run_diff_last_20,float64,2429,2413,16,0.006587072869493619,0.0,-15.0,0.0494221716815979,8.0
away_team_weighted_runs_allowed_last_10,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,0.0,4.3171327124359005,16.0
away_team_weighted_runs_for_last_10,float64,2429,2413,16,0.006587072869493619,0.0,1.0,4.326441317065118,10.62162162162162
away_team_weighted_win_rate_last_10,float64,2429,2413,16,0.006587072869493619,0.01070399341292713,0.0,0.5047144124426922,1.0
away_team_weighted_win_rate_last_20,float64,2429,2413,16,0.006587072869493619,0.006587072869493619,0.0,0.5037168568044309,1.0
away_team_woba_season_to_date,float64,2429,2413,16,0.006587072869493619,0.0,0.1428125,0.3115408067542214,0.4638888888888888
away_travel_distance_miles,float64,2429,2413,16,0.006587072869493619,0.6755866611774393,0.0,0.0,3543.9077791484715
away_travel_rest_days,float64,2429,2413,16,0.006587072869493619,0.399752984767394,0.0,1.0,6.0
away_travel_timezone_shift,float64,2429,2413,16,0.006587072869493619,0.8126801152737753,-5.0,0.0,5.0
lineup_bb_rate_diff,float64,2429,2413,16,0.006587072869493619,0.0,-0.1499999999999999,8.862971690141996e-05,0.1228738717709305
lineup_iso_diff,float64,2429,2413,16,0.006587072869493619,0.0008233841086867024,-0.3200904034237368,-0.0010832737626901,0.4805555555555555
lineup_k_rate_diff,float64,2429,2413,16,0.006587072869493619,0.9934129271305063,0.0,0.0,0.0
lineup_previous_starter_return_diff,float64,2429,2413,16,0.006587072869493619,0.27953890489913547,-0.4444444444444444,0.0,0.5555555555555556
lineup_woba_diff,float64,2429,2413,16,0.006587072869493619,0.0,-0.2329583333333333,-0.0007668558280015,0.3320073815073815
lineup_xwoba_proxy_diff,float64,2429,2413,16,0.006587072869493619,0.0,-0.2329583333333333,-0.0007668558280015,0.3320073815073815
team_5plus_run_rate_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.17373404693289418,-1.0,0.0,1.0
team_actual_minus_pythag_last_20_diff,float64,2429,2413,16,0.006587072869493619,0.0016467682173734047,-0.819672131147541,0.0004739483958515,0.72
