variant,model_name,mean_log_loss_delta_vs_baseline,median_log_loss_delta_vs_baseline,log_loss_win_rate_vs_baseline,mean_accuracy_delta_vs_baseline,accuracy_win_rate_vs_baseline
baseline,random_forest_shallow,,,0.0,,0.0
v2_core,random_forest_shallow,,,0.0,,0.0
