variant,n,pred_std,bias_vs_actual,mae_vs_actual,rmse_vs_actual
raw_pred_total,9719,1.0963123448644538,0.07162270020136094,3.46612591486926,4.386442744851048
calibrated_pred_total,9719,0.986933966054504,-0.09080767842634635,3.481936043724024,4.41946561446501
quantile_p50,9719,1.1415273185431372,-0.3092092245633525,3.467596339204677,4.426404182040644
