game_id,game_date,season,home_team,away_team,home_sp_id,away_sp_id,venue_id,home_score,away_score,prediction_mode,home_team_win,home_sp_fip_season_to_date,home_sp_whip_season_to_date,home_sp_kbb_rate_season_to_date,home_sp_fip_last_3_starts,home_sp_fip_last_5_starts,home_sp_ip_avg_last_3_starts,home_sp_pitch_count_last_start,home_sp_rest_days,away_sp_fip_season_to_date,away_sp_whip_season_to_date,away_sp_kbb_rate_season_to_date,away_sp_fip_last_3_starts,away_sp_fip_last_5_starts,away_sp_ip_avg_last_3_starts,away_sp_pitch_count_last_start,away_sp_rest_days,home_lineup_avg_ops,home_lineup_avg_woba,home_lineup_weighted_woba_by_order,home_lineup_top3_woba,home_lineup_3to5_woba,home_lineup_bottom4_ops,home_lineup_lefty_ratio,home_lineup_vs_rhp_woba,home_lineup_vs_lhp_woba,away_lineup_avg_ops,away_lineup_avg_woba,away_lineup_weighted_woba_by_order,away_lineup_top3_woba,away_lineup_3to5_woba,away_lineup_bottom4_ops,away_lineup_lefty_ratio,away_lineup_vs_rhp_woba,away_lineup_vs_lhp_woba,home_team_ops_season_to_date,home_team_woba_season_to_date,home_team_runs_per_game_to_date,home_team_runs_allowed_per_game_to_date,home_team_recent_7g_win_rate,home_team_recent_10g_win_rate,home_team_ops_last_14d,home_team_ops_last_30d,away_team_ops_season_to_date,away_team_woba_season_to_date,away_team_runs_per_game_to_date,away_team_runs_allowed_per_game_to_date,away_team_recent_7g_win_rate,away_team_recent_10g_win_rate,away_team_ops_last_14d,away_team_ops_last_30d,home_bullpen_fip_season_to_date,home_bullpen_whip_season_to_date,home_bullpen_ip_last_1d,home_bullpen_ip_last_3d,home_bullpen_ip_last_5d,home_bullpen_fatigue_score,home_closer_used_yesterday,home_high_leverage_rp_fatigue_score,away_bullpen_fip_season_to_date,away_bullpen_whip_season_to_date,away_bullpen_ip_last_1d,away_bullpen_ip_last_3d,away_bullpen_ip_last_5d,away_bullpen_fatigue_score,away_closer_used_yesterday,away_high_leverage_rp_fatigue_score,temperature,wind_speed,wind_direction,humidity,is_dome,park_factor_run,park_factor_hr,home_field_advantage,sp_fip_diff,lineup_woba_diff,bullpen_fatigue_diff,team_woba_diff
718768,2023-03-30 23:08:00+00:00,2023,HOU,CWS,664285.0,656302.0,2392,2.0,3.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,,,,,,,,,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,73,0,,81.0,1,,,1.0,,,0.0,
718778,2023-03-31 01:40:00+00:00,2023,SD,COL,605483.0,608566.0,2680,2.0,7.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,,,,,,,0.5555555555555556,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,56,7,L To R,75.0,0,,,1.0,,,0.0,
718769,2023-03-31 02:07:00+00:00,2023,OAK,LAA,666205.0,660271.0,10,2.0,1.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,,,,,,,0.4444444444444444,,,,,,,,,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,52,10,Out To RF,79.0,0,,,1.0,,,0.0,
718767,2023-03-31 02:10:00+00:00,2023,SEA,CLE,622491.0,669456.0,680,3.0,0.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,,,,,,,0.5555555555555556,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,54,11,Out To LF,62.0,0,,,1.0,,,0.0,
718770,2023-03-31 02:10:00+00:00,2023,LAD,AZ,628711.0,668678.0,22,8.0,2.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,,,,,,,0.4444444444444444,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,54,4,Out To RF,76.0,0,,,1.0,,,0.0,
718771,2023-03-31 22:40:00+00:00,2023,MIA,NYM,666200.0,656849.0,4169,2.0,1.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.4404761904761905,0.20964285714285716,0.22104938271604938,0.41250000000000003,0.17500000000000002,0.16666666666666666,0.3333333333333333,0.20964285714285716,,0.6749999999999999,0.3055625,0.29868131868131875,0.35466666666666663,0.1653333333333333,0.7777777777777777,0.6666666666666666,0.3055625,,0.5854166666666667,0.255625,3.0,5.0,0.0,0.0,0.5854166666666667,0.5854166666666667,0.63125,0.29175,5.0,3.0,1.0,1.0,0.63125,0.63125,3.1,1.8000000000000003,0.0,3.333333333333333,3.333333333333333,3.6666666666666665,0.0,0.0,-0.8999999999999999,0.3333333333333333,0.0,3.0,3.0,4.800000000000001,0.0,3.0,80,13,In From LF,57.0,0,,,1.0,,-0.09591964285714286,1.1333333333333342,-0.03612500000000002
718764,2023-04-01 00:10:00+00:00,2023,HOU,CWS,664299.0,458681.0,2392,6.0,3.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.5714285714285714,0.255952380952381,0.26887130801687764,0.3091666666666667,0.42416666666666664,0.3333333333333333,0.2222222222222222,0.255952380952381,,0.75,0.326,0.3173426966292135,0.41250000000000003,0.13349999999999998,0.9166666666666666,0.5555555555555556,,0.326,0.44545454545454544,0.20818181818181816,2.0,3.0,0.0,0.0,0.44545454545454544,0.44545454545454544,0.7460526315789473,0.32925,3.0,2.0,1.0,1.0,0.7460526315789473,0.7460526315789473,4.6,1.5,0.0,4.0,4.0,4.9,0.0,1.0,7.975,1.4999999999999998,0.0,2.6666666666666665,2.6666666666666665,3.433333333333333,0.0,1.0,73,0,,78.0,1,,,1.0,,-0.07004761904761903,-1.4666666666666672,-0.12106818181818182
718766,2023-04-01 01:40:00+00:00,2023,SD,COL,607259.0,607536.0,2680,1.0,4.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.5476190476190476,0.23142857142857146,0.23120253164556961,0.36000000000000004,0.11125,0.4166666666666667,0.4444444444444444,0.23142857142857146,,1.03125,0.4495,0.4848988764044943,0.466,0.7120000000000001,0.4833333333333334,0.3333333333333333,,0.4495,0.5477941176470589,0.23705882352941177,2.0,7.0,0.0,0.0,0.5477941176470589,0.5477941176470589,1.0818181818181818,0.46599999999999997,7.0,2.0,1.0,1.0,1.0818181818181818,1.0818181818181818,8.028571428571428,2.3571428571428577,4.666666666666666,4.666666666666666,4.666666666666666,12.883333333333333,1.0,0.0,0.7666666666666666,1.0,3.0,3.0,3.0,8.55,1.0,0.0,58,8,L To R,83.0,0,,,1.0,,-0.21807142857142855,-4.333333333333332,-0.2289411764705882
718763,2023-04-01 02:10:00+00:00,2023,SEA,CLE,592662.0,683769.0,680,4.0,9.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.7604166666666665,0.33927083333333335,0.33529304029304036,0.415,0.42916666666666664,0.9444444444444443,0.5555555555555556,0.33927083333333335,,0.17857142857142858,0.07714285714285715,0.08944078947368421,0.18000000000000002,0.15875,0.0,0.4444444444444444,0.07714285714285715,,0.68125,0.3003125,3.0,0.0,1.0,1.0,0.68125,0.68125,0.29032258064516125,0.1270967741935484,0.0,3.0,0.0,0.0,0.29032258064516125,0.29032258064516125,1.1000000000000008,0.9999999999999997,3.0,3.0,3.0,9.05,1.0,1.0,10.6,1.0,2.0,2.0,2.0,5.949999999999999,1.0,0.0,45,0,,92.0,1,,,1.0,,0.26212797619047623,-3.1000000000000014,0.1732157258064516
718765,2023-04-01 02:10:00+00:00,2023,LAD,AZ,669160.0,518876.0,22,1.0,2.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.9518518518518518,0.4127222222222222,0.3912900000000001,0.414,0.2775,1.2916666666666667,0.4444444444444444,0.4127222222222222,,0.375,0.168125,0.17487689393939396,0.3125,0.17305555555555555,0.25,0.3333333333333333,,0.168125,0.925,0.4025,8.0,2.0,1.0,1.0,0.925,0.925,0.34523809523809523,0.15533333333333335,2.0,8.0,0.0,0.0,0.34523809523809523,0.34523809523809523,1.7666666666666668,0.0,3.0,3.0,3.0,8.55,1.0,0.0,5.8,2.3999999999999995,3.333333333333333,3.333333333333333,3.333333333333333,9.416666666666666,1.0,0.0,56,9,L To R,77.0,0,,,1.0,,0.24459722222222222,0.8666666666666654,0.24716666666666667
