feature_set,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,baseline_accuracy_conf_60,baseline_coverage_conf_60,log_loss_delta_vs_baseline,brier_score_delta_vs_baseline,accuracy_delta_vs_baseline,accuracy_conf_60_delta_vs_baseline,coverage_conf_60_delta_vs_baseline
expected_runs_ridge,2022,160,random_forest_shallow,0.6776207965517396,0.24230572070481135,0.5740740740740741,2430.0,0.6196943972835314,0.48477366255144033,0.6631578947368421,0.15637860082304528,0.58,0.0205761316872428,0.6776207965517396,0.24230572070481135,0.5740740740740741,0.6631578947368421,0.15637860082304528,0.0,0.0,0.0,0.0,0.0
expected_runs_ridge,2022,160,random_forest,0.6778683291283254,0.2424381667102903,0.5761316872427984,2430.0,0.6110671936758894,0.5205761316872428,0.6528066528066528,0.1979423868312757,0.6694915254237288,0.048559670781893,0.6778683291283254,0.24243816671029034,0.5761316872427984,0.6528066528066528,0.1979423868312757,0.0,-2.7755575615628914e-17,0.0,0.0,0.0
expected_runs_ridge,2022,160,extra_trees,0.6808554779227622,0.2438919266410769,0.5765432098765432,2430.0,0.6070409134157945,0.43251028806584363,0.6260869565217392,0.09465020576131687,0.4,0.00205761316872428,0.6808554779227622,0.2438919266410769,0.5765432098765432,0.6260869565217392,0.09465020576131687,0.0,0.0,0.0,0.0,0.0
expected_runs_ridge,2022,160,calibrated_logistic,0.683271550678432,0.24507221299188922,0.5613168724279836,2430.0,0.598256735340729,0.5193415637860083,0.6260869565217392,0.09465020576131687,0.6111111111111112,0.007407407407407408,0.683271550678432,0.24507221299188922,0.5613168724279836,0.6260869565217392,0.09465020576131687,0.0,0.0,0.0,0.0,0.0
expected_runs_ridge,2022,160,logistic,0.694913293648915,0.24931750562043997,0.574485596707819,2430.0,0.5855369670804101,0.7625514403292181,0.5957943925233645,0.528395061728395,0.6083123425692695,0.3267489711934156,0.694913293648915,0.24931750562043997,0.574485596707819,0.5957943925233645,0.528395061728395,0.0,0.0,0.0,0.0,0.0
expected_runs_ridge,2022,160,hist_gradient_boosting,0.6986678987570901,0.251096944178191,0.5617283950617284,2430.0,0.5759249033683048,0.7452674897119341,0.5867834394904459,0.516872427983539,0.6137761377613776,0.3345679012345679,0.6986678987570901,0.251096944178191,0.5617283950617284,0.5867834394904459,0.516872427983539,0.0,0.0,0.0,0.0,0.0
expected_runs_ridge,2023,166,random_forest_shallow,0.6811717402023649,0.24408603033763887,0.5551440329218107,2430.0,0.6013234077750207,0.49753086419753084,0.648,0.15432098765432098,0.6888888888888889,0.018518518518518517,0.681767343446165,0.24438780387741751,0.557201646090535,0.6577540106951871,0.15390946502057612,-0.0005956032438000358,-0.00030177353977864363,-0.002057613168724326,-0.00975401069518711,0.00041152263374485964
expected_runs_ridge,2023,166,random_forest,0.6818874063070216,0.24444162024292157,0.5596707818930041,2430.0,0.5749211356466877,0.5218106995884774,0.6551059730250481,0.21358024691358024,0.6744186046511628,0.05308641975308642,0.6817111390981749,0.2443657294139352,0.5621399176954732,0.639412997903564,0.1962962962962963,0.0001762672088466699,7.589082898637467e-05,-0.0024691358024691024,0.015692975121484154,0.01728395061728394
expected_runs_ridge,2023,166,extra_trees,0.6827309022704106,0.24485683585003828,0.5473251028806584,2430.0,0.6009523809523809,0.43209876543209874,0.7203791469194313,0.08683127572016461,0.6666666666666666,0.0024691358024691358,0.6835997537244282,0.24528622645011236,0.5415637860082304,0.7015706806282722,0.07860082304526748,-0.0008688514540176051,-0.0004293906000740755,0.0057613168724279795,0.018808466291159065,0.008230452674897124
expected_runs_ridge,2023,166,calibrated_logistic,0.6860180243214095,0.24637741809568187,0.5604938271604938,2430.0,0.5819494584837546,0.5699588477366255,0.5892857142857143,0.2074074074074074,0.6141732283464567,0.05226337448559671,0.6858780900610276,0.2460980761523164,0.5617283950617284,0.5910652920962199,0.23950617283950618,0.00013993426038183543,0.0002793419433654576,-0.0012345679012346622,-0.0017795778105056392,-0.032098765432098775
