model_name,mean_log_loss_delta_vs_baseline,mean_brier_score_delta_vs_baseline,mean_accuracy_delta_vs_baseline,mean_accuracy_conf_60_delta_vs_baseline,mean_coverage_conf_60_delta_vs_baseline
hist_gradient_boosting,-0.001839920445590587,-0.0008292989473750387,0.002778158974124395,-0.006718372087889446,0.02623876106104732
random_forest_shallow,-0.0008608702360027587,-0.0004262727152702511,0.0008239347256318308,-0.0012264230780333896,0.011215220068886415
logistic,-0.0007331422565566847,-0.00010989854491446488,-0.001542913390495837,-0.003651770441853358,-0.027779217852864996
extra_trees,-0.0005471616423837755,-0.00026917968201794346,0.001234610256384161,0.0075970656817759274,0.005968137068041005
random_forest,0.00017421398923603282,8.823947578693453e-05,-0.003807431465132377,0.0036082453553631655,0.012552880404305314
calibrated_logistic,0.0019420586348244118,0.00046158150438527223,0.0002052530550769316,0.0015933238763037871,-0.003290020957328034
