rule_name,model_name,rule,games,picks,hits,accuracy,coverage,avg_confidence
model:random_forest,random_forest,pass,4001,0,0.0,,0.4116678670645128,0.5191985530537556
model:random_forest,random_forest,lean,2281,2281,1249.0,0.5475668566418238,0.234694927461673,0.554031422689942
model:random_forest,random_forest,strong,3437,3437,2140.0,0.622636019784696,0.35363720547381416,0.6100059939873278
model:random_forest,random_forest,actionable,5718,5718,3389.0,0.5926897516614201,0.5883321329354871,0.5876768584278076
model:random_forest_shallow,random_forest_shallow,pass,4522,0,0.0,,0.46527420516514045,0.5193900631242554
model:random_forest_shallow,random_forest_shallow,lean,2392,2392,1341.0,0.56061872909699,0.24611585554069348,0.553860380545163
model:random_forest_shallow,random_forest_shallow,strong,2805,2805,1760.0,0.6274509803921569,0.28860993929416606,0.6025140053461452
model:random_forest_shallow,random_forest_shallow,actionable,5197,5197,3101.0,0.5966903983067154,0.5347257948348596,0.5801204185607017
model:soft_voting,soft_voting,pass,4017,0,0.0,,0.413314126967795,0.5193090937115533
model:soft_voting,soft_voting,lean,2351,2351,1349.0,0.5737983836665249,0.24189731453853278,0.554481954921687
model:soft_voting,soft_voting,strong,3351,3351,2109.0,0.6293643688451208,0.3447885584936722,0.607280988099095
model:soft_voting,soft_voting,actionable,5702,5702,3458.0,0.606453875833041,0.586685873032205,0.5855113411331029
agreement,random_forest,pass,4161,0,0.0,,0.4281304660973351,0.5205085379133632
agreement,random_forest,lean,2138,2138,1167.0,0.5458372310570627,0.21998147957608807,0.5543208369075595
agreement,random_forest,strong,3420,3420,2127.0,0.6219298245614036,0.3518880543265768,0.6101390969860858
agreement,random_forest,actionable,5558,5558,3294.0,0.5926592299388269,0.5718695339026649,0.5886674453042058
