model_name,log_loss_delta,brier_score_delta,accuracy_delta
elo,0.0,0.0,0.0
logistic,0.00030954371627007506,0.00010078781592259999,0.004321453560966775
random_forest,-0.00024554812214695,-0.00012970272943985085,0.00257218588150385
