variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
baseline,33,2022,160,random_forest,0.6769466219397136,0.24198746413765085,0.5765432098765432,2430.0,0.6179056754596323,0.5148148148148148,0.6549586776859504,0.1991769547325103,0.6538461538461539,0.04279835390946502,0.6769466219397136,0.24198746413765085,0.5765432098765432,0.0,0.0
baseline,33,2022,160,random_forest_shallow,0.6778270258114528,0.24240311758097657,0.5777777777777777,2430.0,0.6286701208981001,0.4765432098765432,0.6703601108033241,0.148559670781893,0.5714285714285714,0.01440329218106996,0.6769466219397136,0.24198746413765085,0.5765432098765432,0.0008804038717392659,0.0012345679012345512
baseline,33,2023,162,random_forest,0.6817203245584418,0.24435808603290385,0.5666666666666667,2430.0,0.5907643312101911,0.516872427983539,0.6373873873873874,0.18271604938271604,0.6947368421052632,0.03909465020576132,0.6817203245584418,0.24435808603290385,0.5666666666666667,0.0,0.0
baseline,33,2023,162,random_forest_shallow,0.6822249003260046,0.24460683919600387,0.5555555555555556,2430.0,0.590869939707149,0.4777777777777778,0.6588235294117647,0.13991769547325103,0.6875,0.01316872427983539,0.6817203245584418,0.24435808603290385,0.5666666666666667,0.0005045757675627982,-0.011111111111111072
baseline,33,2024,162,random_forest,0.6792168177967617,0.24310939895816078,0.5693701111568547,2429.0,0.6020408163265306,0.484149855907781,0.6715328467153284,0.16920543433511734,0.6521739130434783,0.03787566899958831,0.6792168177967617,0.24310939895816078,0.5693701111568547,0.0,0.0
baseline,33,2024,162,random_forest_shallow,0.6807870029255831,0.2438888225141336,0.5763688760806917,2429.0,0.6014568158168574,0.39563606422396047,0.703862660944206,0.09592424866200082,0.7777777777777778,0.011115685467270481,0.6792168177967617,0.24310939895816078,0.5693701111568547,0.0015701851288214552,0.0069987649238369976
baseline,33,2025,162,random_forest,0.6802648874643251,0.24366909733563216,0.557201646090535,2430.0,0.6015228426395939,0.48641975308641977,0.6563981042654028,0.17366255144032922,0.7326732673267327,0.04156378600823045,0.6802648874643251,0.24366909733563216,0.557201646090535,0.0,0.0
baseline,33,2025,162,random_forest_shallow,0.6811040273472966,0.2440546875845751,0.5588477366255145,2430.0,0.6063720452209661,0.40041152263374485,0.6810035842293907,0.11481481481481481,0.7142857142857143,0.01728395061728395,0.6802648874643251,0.24366909733563216,0.557201646090535,0.0008391398829714625,0.0016460905349794386
recent_form,33,2022,243,random_forest_shallow,0.6785073011970499,0.24271606931204162,0.5720164609053497,2430.0,0.6186305732484076,0.516872427983539,0.6357615894039735,0.18641975308641975,0.6078431372549019,0.04197530864197531,0.6769466219397136,0.24198746413765085,0.5765432098765432,0.0015606792573363837,-0.004526748971193428
recent_form,33,2022,243,random_forest,0.6787844322983315,0.24287108546515854,0.5740740740740741,2430.0,0.6101190476190477,0.5530864197530864,0.6185383244206774,0.2308641975308642,0.6470588235294118,0.06296296296296296,0.6769466219397136,0.24198746413765085,0.5765432098765432,0.001837810358617964,-0.0024691358024691024
recent_form,33,2023,245,random_forest_shallow,0.6823724096571148,0.24467231180730592,0.5534979423868313,2430.0,0.5870809484873263,0.5032921810699589,0.6380090497737556,0.18189300411522633,0.6883116883116883,0.03168724279835391,0.6817203245584418,0.24435808603290385,0.5666666666666667,0.0006520850986729831,-0.013168724279835398
recent_form,33,2023,245,random_forest,0.6830600466416084,0.24498340171692945,0.5646090534979424,2430.0,0.5791505791505791,0.5329218106995884,0.6313799621928167,0.2176954732510288,0.6204379562043796,0.056378600823045265,0.6817203245584418,0.24435808603290385,0.5666666666666667,0.0013397220831665724,-0.002057613168724215
recent_form,33,2024,245,random_forest,0.6811233309217426,0.24407691910893103,0.5541375051461507,2429.0,0.6030534351145038,0.485384932070811,0.6410835214446953,0.18237958007410457,0.7280701754385965,0.04693289419514203,0.6792168177967617,0.24310939895816078,0.5693701111568547,0.001906513124980913,-0.015232606010703975
recent_form,33,2024,245,random_forest_shallow,0.6830275559335552,0.24499854912065114,0.554549197200494,2429.0,0.5964740450538688,0.42033758748456157,0.6454849498327759,0.123095924248662,0.7454545454545455,0.022643062988884313,0.6792168177967617,0.24310939895816078,0.5693701111568547,0.0038107381367935567,-0.014820913956360648
recent_form,33,2025,245,random_forest_shallow,0.6797306064111588,0.24340516293803852,0.5510288065843622,2430.0,0.6187683284457478,0.42098765432098767,0.6927899686520376,0.13127572016460906,0.782608695652174,0.028395061728395062,0.6802648874643251,0.24366909733563216,0.557201646090535,-0.00053428105316633,-0.006172839506172867
recent_form,33,2025,245,random_forest,0.6815291149141108,0.24429925363135016,0.5530864197530864,2430.0,0.6004962779156328,0.49753086419753084,0.6431623931623932,0.1925925925925926,0.7222222222222222,0.05185185185185185,0.6802648874643251,0.24366909733563216,0.557201646090535,0.0012642274497857153,-0.004115226337448652
