feature_a,feature_b,abs_spearman_corr
home_sp_hard_hit_rate_allowed_to_date,home_sp_avg_exit_velocity_allowed_to_date,0.7228627813507997
away_lineup_bottom4_ops,away_lineup_statcast_woba,0.7223635628915165
away_sp_fip_season_to_date,away_sp_statcast_woba_allowed_to_date,0.7213469631817517
sp_fip_diff,sp_statcast_xwoba_allowed_diff,0.7206444507983664
home_lineup_vs_rhp_woba,home_lineup_platoon_woba,0.7201015065794241
away_sp_fip_season_to_date,away_sp_fip_last_3_starts,0.7158863987866717
home_sp_fip_season_to_date,home_sp_fip_last_3_starts,0.7133327582705077
away_travel_distance_miles,away_travel_travel_day,0.713275446518605
lineup_woba_diff,lineup_platoon_woba_diff,0.7077658612965093
away_bullpen_ip_last_5d,away_bullpen_fatigue_score,0.7075476170763002
home_sp_whip_season_to_date,home_sp_statcast_xwoba_allowed_to_date,0.7072724594828385
home_bullpen_ip_last_1d,away_bullpen_ip_last_1d,0.7060653058015705
away_sp_whip_season_to_date,away_sp_statcast_xwoba_allowed_to_date,0.7035377582754769
away_lineup_weighted_woba_by_order,away_team_woba_season_to_date,0.7023990601304568
home_travel_distance_miles,home_travel_travel_day,0.6989388519194306
away_lineup_weighted_woba_by_order,away_team_ops_season_to_date,0.6982184660596145
away_sp_kbb_rate_season_to_date,away_sp_whiff_rate_to_date,0.6981461408272029
away_team_runs_allowed_per_game_to_date,away_bullpen_whip_season_to_date,0.695572757073356
home_sp_kbb_rate_season_to_date,home_sp_whiff_rate_to_date,0.6955070260152456
home_team_runs_allowed_per_game_to_date,home_bullpen_whip_season_to_date,0.6947686240913526
home_lineup_platoon_advantage_ratio,lineup_platoon_advantage_diff,0.6946673349764991
home_team_runs_per_game_to_date,home_team_ops_last_30d,0.6931249477498957
away_lineup_avg_ops,away_team_ops_season_to_date,0.6923804051737554
away_lineup_avg_ops,away_team_woba_season_to_date,0.6920658369405269
away_team_runs_per_game_to_date,away_team_ops_last_30d,0.6919891973687781
home_lineup_same_hand_ratio,lineup_platoon_advantage_diff,0.6916997878829723
away_lineup_platoon_advantage_ratio,lineup_platoon_advantage_diff,0.6905409401927642
away_lineup_same_hand_ratio,lineup_platoon_advantage_diff,0.6886227431047476
home_lineup_weighted_woba_by_order,home_team_woba_season_to_date,0.6875958586495982
away_travel_distance_miles,away_bullpen_ip_last_1d,0.6868071008498197
away_lineup_avg_woba,away_team_woba_season_to_date,0.6858240672461339
home_sp_avg_fastball_velocity_to_date,sp_fastball_velocity_diff,0.6849643822026017
home_lineup_weighted_woba_by_order,home_team_ops_season_to_date,0.6845829626728668
away_lineup_avg_woba,away_team_ops_season_to_date,0.6818116558074937
away_sp_avg_fastball_velocity_to_date,sp_fastball_velocity_diff,0.6813202872155636
home_sp_kbb_rate_season_to_date,home_sp_statcast_xwoba_allowed_to_date,0.6804824276500774
home_sp_statcast_xwoba_allowed_to_date,sp_statcast_xwoba_allowed_diff,0.6792281081423622
