eval_set,model,train_rows,n_games,log_loss,brier_score,accuracy,accuracy_conf_60,coverage_conf_60
target_2026_scored,baseline_rf_all_seasons,12148.0,807.0,0.6943969125810201,0.2506241840562994,0.516728624535316,0.5585585585585585,0.137546468401487
target_2026_scored,challenger_rf_2024_2025,4859.0,807.0,0.693930391638784,0.2503378896065882,0.5390334572490706,0.5154639175257731,0.12019826517967781
target_2026_scored,recency_weighted_rf_hl2,12148.0,807.0,0.6933421393918257,0.2500874884556507,0.5179677819083024,0.5894736842105263,0.11771995043370508
holdout_2025,baseline_rf_all_seasons,9718.0,2430.0,0.679730691481685,0.2434048124683492,0.5584362139917696,0.6523702031602708,0.18230452674897119
holdout_2025,challenger_rf_2024,2429.0,2430.0,0.6828537710842468,0.24490917731607792,0.5526748971193416,0.6491228070175439,0.14074074074074075
holdout_2025,recency_weighted_rf_hl2,9718.0,2430.0,0.6813092229827697,0.24418879354803766,0.5539094650205761,0.6547314578005116,0.16090534979423868
