column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
away_lineup_top3_woba,float64,90,75,15,0.16666666666666666,0.0,0.0741666666666666,0.3072156862745097,0.6233333333333334
away_lineup_weighted_woba_by_order,float64,90,75,15,0.16666666666666666,0.0,0.0552,0.2945556127450981,0.4618644688644689
away_team_ops_last_14d,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
away_team_ops_last_30d,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
away_team_ops_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
away_team_recent_10g_win_rate,float64,90,75,15,0.16666666666666666,0.14444444444444443,0.0,0.5,1.0
away_team_recent_7g_win_rate,float64,90,75,15,0.16666666666666666,0.14444444444444443,0.0,0.5,1.0
away_team_runs_allowed_per_game_to_date,float64,90,75,15,0.16666666666666666,0.05555555555555555,0.0,4.0,10.0
away_team_runs_per_game_to_date,float64,90,75,15,0.16666666666666666,0.044444444444444446,0.0,4.0,9.0
away_team_woba_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.0475862068965517,0.2947741935483871,0.4700884955752212
home_lineup_3to5_woba,float64,90,75,15,0.16666666666666666,0.011111111111111112,0.0,0.3175555555555555,0.5620833333333334
home_lineup_avg_ops,float64,90,75,15,0.16666666666666666,0.0,0.3333333333333333,0.6943226766982487,1.1979166666666663
home_lineup_avg_woba,float64,90,75,15,0.16666666666666666,0.0,0.145625,0.3079285714285714,0.4934495464852607
home_lineup_bottom4_ops,float64,90,75,15,0.16666666666666666,0.011111111111111112,0.0,0.611111111111111,1.5833333333333333
home_lineup_top3_woba,float64,90,75,15,0.16666666666666666,0.011111111111111112,0.0,0.3194999999999999,0.6583333333333333
home_lineup_weighted_woba_by_order,float64,90,75,15,0.16666666666666666,0.0,0.1689655172413793,0.3141287878787879,0.4843819811875367
home_team_ops_last_14d,float64,90,75,15,0.16666666666666666,0.0,0.2903225806451612,0.6869083352574463,1.2233082706766918
home_team_ops_last_30d,float64,90,75,15,0.16666666666666666,0.0,0.2903225806451612,0.6869083352574463,1.2233082706766918
home_team_ops_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.2903225806451612,0.6869083352574463,1.2233082706766918
home_team_recent_10g_win_rate,float64,90,75,15,0.16666666666666666,0.16666666666666666,0.0,0.5,1.0
home_team_recent_7g_win_rate,float64,90,75,15,0.16666666666666666,0.16666666666666666,0.0,0.5,1.0
home_team_runs_allowed_per_game_to_date,float64,90,75,15,0.16666666666666666,0.044444444444444446,0.0,4.25,9.0
home_team_runs_per_game_to_date,float64,90,75,15,0.16666666666666666,0.05555555555555555,0.0,4.25,10.0
home_team_woba_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.1270967741935484,0.3095698924731183,0.5147368421052632
lineup_woba_diff,float64,90,75,15,0.16666666666666666,0.0,-0.2479374999999999,0.0238157438571974,0.4307142857142857
team_woba_diff,float64,90,75,15,0.16666666666666666,0.0,-0.2140833333333334,0.0199206479057591,0.4671506352087114
wind_direction,str,90,76,14,0.15555555555555556,,,,
away_score,float64,90,88,2,0.022222222222222223,0.05555555555555555,0.0,4.0,12.0
home_score,float64,90,88,2,0.022222222222222223,0.1,0.0,3.0,12.0
away_bullpen_fatigue_score,float64,90,90,0,0.0,0.16666666666666666,0.0,11.0,26.316666666666663
away_bullpen_ip_last_1d,float64,90,90,0,0.0,0.45555555555555555,0.0,2.0,6.666666666666666
away_bullpen_ip_last_3d,float64,90,90,0,0.0,0.16666666666666666,0.0,5.333333333333333,12.666666666666666
away_bullpen_ip_last_5d,float64,90,90,0,0.0,0.16666666666666666,0.0,9.0,21.33333333333333
away_closer_used_yesterday,float64,90,90,0,0.0,0.7777777777777778,0.0,0.0,1.0
away_high_leverage_rp_fatigue_score,float64,90,90,0,0.0,0.4777777777777778,0.0,1.0,8.666666666666666
away_lineup_lefty_ratio,float64,90,90,0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.8888888888888888
away_sp_id,int64,90,90,0,0.0,0.0,450203.0,663474.0,808967.0
away_team,str,90,90,0,0.0,,,,
bullpen_fatigue_diff,float64,90,90,0,0.0,0.16666666666666666,-12.966666666666669,0.0,12.73333333333333
game_date,"datetime64[us, UTC]",90,90,0,0.0,,,,
game_id,int64,90,90,0,0.0,0.0,744869.0,746007.5,747220.0
home_bullpen_fatigue_score,float64,90,90,0,0.0,0.17777777777777778,0.0,10.916666666666668,28.28333333333333
home_bullpen_ip_last_1d,float64,90,90,0,0.0,0.4777777777777778,0.0,1.6666666666666665,8.0
home_bullpen_ip_last_3d,float64,90,90,0,0.0,0.17777777777777778,0.0,5.166666666666666,13.0
home_bullpen_ip_last_5d,float64,90,90,0,0.0,0.17777777777777778,0.0,8.833333333333332,20.33333333333333
home_closer_used_yesterday,float64,90,90,0,0.0,0.8,0.0,0.0,1.0
home_field_advantage,float64,90,90,0,0.0,0.0,1.0,1.0,1.0
home_high_leverage_rp_fatigue_score,float64,90,90,0,0.0,0.4222222222222222,0.0,1.0,6.0
home_lineup_lefty_ratio,float64,90,90,0,0.0,0.011111111111111112,0.0,0.4444444444444444,0.7777777777777778
home_sp_id,int64,90,90,0,0.0,0.0,458681.0,656357.5,696136.0
home_team,str,90,90,0,0.0,,,,
home_team_win,int64,90,90,0,0.0,0.5,0.0,0.5,1.0
is_dome,int64,90,90,0,0.0,1.0,0.0,0.0,0.0
prediction_mode,str,90,90,0,0.0,,,,
season,int64,90,90,0,0.0,0.0,2024.0,2024.0,2024.0
source_file,str,90,90,0,0.0,,,,
temperature,int64,90,90,0,0.0,0.0,36.0,58.0,83.0
venue_id,int64,90,90,0,0.0,0.0,1.0,1536.0,5325.0
wind_speed,int64,90,90,0,0.0,0.15555555555555556,0.0,9.5,23.0
