band,agree_only,n,accuracy,coverage
0.53,False,6765,0.581670362158167,0.6960592653565182
0.53,True,2032,0.5910433070866141,0.2090750077168433
0.55,False,5032,0.6015500794912559,0.5177487395822615
0.55,True,1566,0.6091954022988506,0.16112768803374833
0.57,False,3601,0.6231602332685365,0.37051136948245705
0.57,True,1172,0.6245733788395904,0.1205885379154234
0.6,False,1950,0.637948717948718,0.20063792571252187
0.6,True,677,0.6425406203840472,0.06965737215762939
