season,column,rows,null_rate_all,null_rate_may_onward,non_null_may_onward
2024,bullpen_fatigue_diff,741,0.0,0.0,579
2025,bullpen_fatigue_diff,737,0.0,0.0,583
2026,bullpen_fatigue_diff,274,0.0,0.0,103
2024,home_bullpen_fatigue_score,741,0.0,0.0,579
2025,home_bullpen_fatigue_score,737,0.0,0.0,583
2026,home_bullpen_fatigue_score,274,0.0,0.0,103
2024,home_bullpen_fip_season_to_date,741,0.006747638326585695,0.0,579
2025,home_bullpen_fip_season_to_date,737,0.008141112618724558,0.0,583
2026,home_bullpen_fip_season_to_date,274,0.01824817518248175,0.0,103
2024,home_bullpen_ip_last_1d,741,0.0,0.0,579
2025,home_bullpen_ip_last_1d,737,0.0,0.0,583
2026,home_bullpen_ip_last_1d,274,0.0,0.0,103
2024,home_bullpen_ip_last_3d,741,0.0,0.0,579
2025,home_bullpen_ip_last_3d,737,0.0,0.0,583
2026,home_bullpen_ip_last_3d,274,0.0,0.0,103
2024,home_bullpen_ip_last_5d,741,0.0,0.0,579
2025,home_bullpen_ip_last_5d,737,0.0,0.0,583
2026,home_bullpen_ip_last_5d,274,0.0,0.0,103
2024,home_bullpen_whip_season_to_date,741,0.006747638326585695,0.0,579
2025,home_bullpen_whip_season_to_date,737,0.008141112618724558,0.0,583
2026,home_bullpen_whip_season_to_date,274,0.01824817518248175,0.0,103
2024,home_closer_used_yesterday,741,0.0,0.0,579
2025,home_closer_used_yesterday,737,0.0,0.0,583
2026,home_closer_used_yesterday,274,0.0,0.0,103
2024,home_estimated_high_leverage_role_fatigue_score,741,0.0,0.0,579
2025,home_estimated_high_leverage_role_fatigue_score,737,0.0,0.0,583
2026,home_estimated_high_leverage_role_fatigue_score,274,0.0,0.0,103
2024,home_high_leverage_rp_fatigue_score,741,0.0,0.0,579
2025,home_high_leverage_rp_fatigue_score,737,0.0,0.0,583
2026,home_high_leverage_rp_fatigue_score,274,0.0,0.0,103
2026,home_team_ops_last_14d,274,0.01824817518248175,0.0,103
2024,home_team_ops_last_30d,741,0.006747638326585695,0.0,579
2025,home_team_ops_last_30d,737,0.008141112618724558,0.0,583
2026,home_team_ops_last_30d,274,0.01824817518248175,0.0,103
2024,home_team_ops_season_to_date,741,0.006747638326585695,0.0,579
