model_name,mean_total_mae,mean_total_rmse,mean_home_mae,mean_away_mae,mean_run_diff_mae,mean_total_within_1,mean_total_within_2
catboost_regressor,3.4661072434786853,4.384369561083471,2.4113534883654326,2.4929883323856656,3.43505890969407,0.17687247880971865,0.3507582418885653
gradient_boosting_regressor,3.491045061172185,4.415919526286722,2.4271921997364694,2.5097316348456165,3.4511742176714373,0.18078152027879854,0.3468484803819418
random_forest_regressor,3.5004872690866837,4.411055329395509,2.416911715320896,2.506604079435854,3.4346391686190594,0.1752250752651009,0.345098619730384
ridge,3.5037066330794016,4.434713847739555,2.439201138205987,2.529229973933316,3.4698553887815,0.17656260853507091,0.3477741945321196
lightgbm_regressor,3.521809613432473,4.449001011161313,2.4504747661516655,2.5244592038325013,3.4715336835169364,0.17851789166230408,0.3441729902905055
hist_gradient_boosting_regressor,3.5446903681972755,4.480069591304086,2.465899945583383,2.5409031635057446,3.5017877373746304,0.1764593890354377,0.34386439067034646
