holdout_season,model_name,game_id,game_date,season,home_team,away_team,home_score,away_score,home_team_win,home_win_probability,away_win_probability,raw_win_pick,win_confidence,actual_winner,win_edge,win_pick_rule,rule_win_pick,rule_win_correct,random_forest_shallow_raw_win_pick,random_forest_shallow_win_confidence,random_forest_shallow_agrees,soft_voting_raw_win_pick,soft_voting_win_confidence,soft_voting_agrees,agreement_models,agreement_required,models_agree
2022,random_forest,661917,2022-04-09 17:10:00+00:00,2022,TB,BAL,5.0,3.0,1,0.5376463358972527,0.46235366410274725,TB,0.5376463358972527,TB,0.03764633589725275,lean,TB,1.0,TB,0.5669541999873615,True,TB,0.6071439466225952,True,2,2,True
2022,random_forest,662864,2022-04-09 17:10:00+00:00,2022,DET,CWS,2.0,5.0,0,0.48430977632195144,0.5156902236780485,CWS,0.5156902236780485,CWS,0.01569022367804851,pass,,,DET,0.501715016643276,False,DET,0.5696042287412073,False,0,2,False
2022,random_forest,661756,2022-04-09 18:10:00+00:00,2022,MIN,SEA,3.0,4.0,0,0.4563395300339706,0.5436604699660295,SEA,0.5436604699660295,SEA,0.04366046996602946,pass,,,SEA,0.518520710382776,True,MIN,0.5037549574487256,False,1,2,False
2022,random_forest,662020,2022-04-09 18:15:00+00:00,2022,STL,PIT,6.0,2.0,1,0.5005904800301827,0.4994095199698173,STL,0.5005904800301827,STL,0.000590480030182694,pass,,,STL,0.5134364475705835,True,STL,0.5931218975678836,True,2,2,True
2022,random_forest,663205,2022-04-09 18:20:00+00:00,2022,CHC,MIL,9.0,0.0,1,0.5768341556195916,0.4231658443804084,CHC,0.5768341556195916,CHC,0.07683415561959162,strong,CHC,1.0,CHC,0.5730307427900048,True,CHC,0.6429673955802483,True,2,2,True
2022,random_forest,661803,2022-04-09 19:07:00+00:00,2022,TOR,TEX,4.0,3.0,1,0.49639148793266513,0.5036085120673348,TEX,0.5036085120673348,TOR,0.0036085120673348126,pass,,,TOR,0.5071350672459894,False,TEX,0.5193721647579816,True,1,2,False
2022,random_forest,661130,2022-04-09 20:05:00+00:00,2022,PHI,OAK,4.0,2.0,1,0.4399830867807698,0.5600169132192302,OAK,0.5600169132192302,PHI,0.060016913219230195,pass,,,OAK,0.518061591979498,True,PHI,0.5213724607593986,False,1,2,False
2022,random_forest,661332,2022-04-09 20:05:00+00:00,2022,NYY,BOS,4.0,2.0,1,0.5248472925512486,0.4751527074487514,NYY,0.5248472925512486,NYY,0.024847292551248623,pass,,,NYY,0.5087722763822426,True,NYY,0.5110871753978924,True,2,2,True
2022,random_forest,662123,2022-04-09 20:05:00+00:00,2022,SF,MIA,1.0,2.0,0,0.5200990591808745,0.4799009408191255,SF,0.5200990591808745,MIA,0.020099059180874512,pass,,,SF,0.5029079653946209,True,MIA,0.510107692627623,False,1,2,False
2022,random_forest,662765,2022-04-09 20:10:00+00:00,2022,KC,CLE,1.0,0.0,1,0.5613847244230684,0.4386152755769316,KC,0.5613847244230684,KC,0.061384724423068415,strong,KC,1.0,KC,0.5549416121756396,True,KC,0.5952909114979469,True,2,2,True
2022,random_forest,662588,2022-04-09 23:05:00+00:00,2022,WSH,NYM,0.0,5.0,0,0.4311772072780481,0.5688227927219519,NYM,0.5688227927219519,NYM,0.06882279272195191,strong,NYM,1.0,NYM,0.5591248343084454,True,NYM,0.6469810310703898,True,2,2,True
2022,random_forest,661575,2022-04-09 23:20:00+00:00,2022,ATL,CIN,2.0,1.0,1,0.4330693533234386,0.5669306466765613,CIN,0.5669306466765613,ATL,0.06693064667656135,strong,CIN,0.0,CIN,0.5236591630216465,True,CIN,0.5139157591944528,True,2,2,True
2022,random_forest,662931,2022-04-10 00:10:00+00:00,2022,COL,LAD,3.0,2.0,1,0.465762996049313,0.534237003950687,LAD,0.534237003950687,COL,0.03423700395068696,lean,LAD,0.0,LAD,0.5067689865602942,True,LAD,0.5811966771622101,True,2,2,True
2022,random_forest,663404,2022-04-10 00:10:00+00:00,2022,AZ,SD,2.0,5.0,0,0.523337618261531,0.476662381738469,AZ,0.523337618261531,SD,0.023337618261531023,pass,,,AZ,0.5317084551321972,True,AZ,0.5016827058018489,True,2,2,True
2022,random_forest,661040,2022-04-10 01:07:00+00:00,2022,LAA,HOU,2.0,0.0,1,0.47260070138550675,0.5273992986144933,HOU,0.5273992986144933,LAA,0.027399298614493306,pass,,,LAA,0.5187186804264449,False,HOU,0.5612218237041557,True,1,2,False
