variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
baseline,22,2022,160,random_forest,0.6779262371981198,0.24246316463391973,0.5732510288065844,2430.0,0.6167076167076168,0.5024691358024691,0.6600790513833992,0.20823045267489712,0.6203703703703703,0.044444444444444446,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.0,0.0
baseline,22,2022,160,random_forest_shallow,0.6783007799330374,0.24263646025408414,0.5806584362139918,2430.0,0.6092827004219409,0.4876543209876543,0.6768802228412256,0.14773662551440328,0.5384615384615384,0.016049382716049384,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.00037454273491754897,0.007407407407407418
baseline,22,2023,162,random_forest,0.6816010489424649,0.24429549211849805,0.5563786008230452,2430.0,0.5938485804416404,0.5218106995884774,0.6338912133891214,0.19670781893004116,0.6896551724137931,0.047736625514403296,0.6816010489424649,0.24429549211849805,0.5563786008230452,0.0,0.0
baseline,22,2023,162,random_forest_shallow,0.6823100188616078,0.24465401965567313,0.551440329218107,2430.0,0.5966386554621849,0.4897119341563786,0.6596306068601583,0.15596707818930042,0.7037037037037037,0.022222222222222223,0.6816010489424649,0.24429549211849805,0.5563786008230452,0.0007089699191429322,-0.004938271604938205
baseline,22,2024,162,random_forest,0.6798323853469945,0.24340996504576431,0.569781803211198,2429.0,0.5941530524505589,0.4787978592013174,0.6895734597156398,0.17373404693289418,0.6542056074766355,0.04405104981473858,0.6798323853469945,0.24340996504576431,0.569781803211198,0.0,0.0
baseline,22,2024,162,random_forest_shallow,0.6799519237440184,0.24347683148626684,0.5743104158089749,2429.0,0.6163265306122448,0.4034582132564842,0.6680161943319838,0.10168793742280774,0.7741935483870968,0.012762453684643887,0.6798323853469945,0.24340996504576431,0.569781803211198,0.00011953839702383284,0.0045286125977769265
baseline,22,2025,162,random_forest,0.6791868090420207,0.24314234420831995,0.5547325102880658,2430.0,0.6053067993366501,0.4962962962962963,0.6744730679156908,0.1757201646090535,0.7818181818181819,0.04526748971193416,0.6791868090420207,0.24314234420831995,0.5547325102880658,0.0,0.0
baseline,22,2025,162,random_forest_shallow,0.6811392457538955,0.24408174496800555,0.5625514403292181,2430.0,0.59765625,0.4213991769547325,0.697508896797153,0.11563786008230453,0.7297297297297297,0.015226337448559672,0.6791868090420207,0.24314234420831995,0.5547325102880658,0.0019524367118748387,0.007818930041152305
recent_form,22,2022,243,random_forest,0.6785796179225614,0.24276055405053742,0.5724279835390946,2430.0,0.6112737920937042,0.5621399176954732,0.6320272572402045,0.24156378600823045,0.6607142857142857,0.0691358024691358,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.0006533807244415435,-0.0008230452674897748
recent_form,22,2022,243,random_forest_shallow,0.6787457486350598,0.2428583179549653,0.5646090534979424,2430.0,0.6107226107226107,0.5296296296296297,0.6434426229508197,0.2008230452674897,0.6545454545454545,0.04526748971193416,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.0008195114369399237,-0.00864197530864197
recent_form,22,2023,245,random_forest,0.6811544759773789,0.244061612351054,0.5621399176954732,2430.0,0.5935787000783085,0.525514403292181,0.6379647749510763,0.2102880658436214,0.6564885496183206,0.053909465020576135,0.6816010489424649,0.24429549211849805,0.5563786008230452,-0.00044657296508598954,0.0057613168724279795
recent_form,22,2023,245,random_forest_shallow,0.6814702334360235,0.24423046181658145,0.560082304526749,2430.0,0.6013018714401953,0.505761316872428,0.6415525114155252,0.18024691358024691,0.654320987654321,0.03333333333333333,0.6816010489424649,0.24429549211849805,0.5563786008230452,-0.00013081550644133966,0.0037037037037037646
recent_form,22,2024,245,random_forest_shallow,0.6818166509602575,0.2444010142106948,0.5644298065047345,2429.0,0.6011730205278593,0.4211609715932482,0.6710526315789473,0.12515438452037875,0.6935483870967742,0.025524907369287773,0.6798323853469945,0.24340996504576431,0.569781803211198,0.0019842656132629255,-0.005351996706463469
recent_form,22,2024,245,random_forest,0.6823834900393324,0.24467039108433386,0.5636064223960477,2429.0,0.5987972508591065,0.4792095512556608,0.625,0.18773157678056812,0.6638655462184874,0.04899135446685879,0.6798323853469945,0.24340996504576431,0.569781803211198,0.00255110469233788,-0.006175380815150233
recent_form,22,2025,245,random_forest_shallow,0.6800375078203175,0.2435584999512884,0.557201646090535,2430.0,0.6189555125725339,0.42551440329218104,0.6934523809523809,0.1382716049382716,0.7468354430379747,0.03251028806584362,0.6791868090420207,0.24314234420831995,0.5547325102880658,0.000850698778296799,0.0024691358024692134
recent_form,22,2025,245,random_forest,0.6818964436638666,0.2444807604209891,0.5465020576131687,2430.0,0.5888077858880778,0.5074074074074074,0.6511627906976745,0.19465020576131686,0.7063492063492064,0.05185185185185185,0.6791868090420207,0.24314234420831995,0.5547325102880658,0.0027096346218459244,-0.008230452674897082
